name,commits,repos
phadej,388,536
mike-burns,119,581
jwiegley,64,835
sajidanower23,17,873
scott-fleischman,13,962
sol,13,1162
joeyh,13,1164
robbiemcmichael,10,1211
nataren,8,1309
rob-b,7,1365
toddmohney,7,1404
mgiles,5,1415
mxswd,5,1438
paulrzcz,5,1469
iphydf,5,1549
dsmatter,4,1583
domenkozar,4,1812
matsubara0507,4,2032
TomMD,4,2518
adarqui,3,2817
jamesdabbs,3,2991
mwu,3,3004
pharpend,3,3093
pbogdan,3,3157
y-taka-23,3,3242
vlad-shatskyi,3,3303
nakaji-dayo,3,3418
alexfmpe,2,3564
cpennington,2,3663
charleso,2,3784
Daniel-Diaz,2,3838
deckool,2,3910
erantapaa,2,4005
mulby,2,4046
GrayHatter,2,4120
hdgarrood,2,4268
dahlia,2,4413
IvanMalison,2,4597
tsani,2,4666
psylinse,2,4758
santolucito,2,4817
snoyberg,2,5173
nblumoe,2,5267
relrod,2,5672
cblp,2,5821
mrb,2,6020
pbrisbin,2,6211
abhinav,1,6228
axman6,1,6312
ali-abrar,1,6330
asr,1,6389
artemohanjanyan,1,6441
adomokos,1,6497
brendanhay,1,6567
bitemyapp,1,6753
kfish,1,6833
dlthomas,1,6852
dmand,1,6874
ethercrow,1,6981
mightybyte,1,7112
erikd,1,7274
fernandocastor,1,7308
NinjaTrappeur,1,7362
hrushikesh,1,7378
ian-ross,1,7434
jhrcek,1,7528
jsl,1,7619
zudov,1,7736
womfoo,1,7755
mcmayer,1,7781
marcosh,1,7890
NicolasDP,1,7956
nh2,1,8368
palas,1,8378
ppetr,1,8461
rom1504,1,8618
ruuda,1,8721
ryantrinkle,1,8841
schell,1,9039
smurphy8,1,9138
sid-kap,1,9237
ttuegel,1,9360
yunomu,1,9398
seizans,1,9429
vrom911,1,9447
